input,output,pearson,spearman,mutual information (sklearn),normalized mutual information,MIC,MAS,MEV,MCN_general
minSoilDepthFrac_forest,evap-total,0.0021766579658281,-0.0001025062630381,0.0,0.0503880909785172,0.0504054531150696,0.0052212941374825,0.0504054531150696,3.807354922057604
tasmax,tws,-0.0100114089943788,-0.0044448822780958,0.0028668589150377,0.0091263113210016,0.0478089531953381,0.0022368204343627,0.0478089531953381,3.807354922057604
tasmax,qtot,0.0105663015957749,0.0095659399320579,0.0054344758564992,0.0552446345718696,0.0502678878700613,0.0015613819174343,0.0502678878700613,3.807354922057604
tas,tws,0.0112046254998078,-0.010485828115017,0.0073405297957958,0.0092897807804032,0.0497665007361603,0.0015468169013528,0.0497665007361603,3.807354922057604
tas,qtot,0.005991733366371,0.0003487408716421,0.0016114500215715,0.056485374704385,0.0490307303757098,0.0018685227229185,0.0490307303757098,3.807354922057604
minSoilDepthFrac_forest,qr,0.0030718933461619,-0.0010918670582921,0.0,0.0385339437563945,0.04596069589777,0.0022129356781509,0.04596069589777,3.807354922057604
pr,evap-total,-0.0005216356116408,0.0023504026405116,0.0005240154122629,0.0346730913608304,0.0492344753326202,0.0024226050027526,0.0492344753326202,3.807354922057604
minSoilDepthFrac_forest,potevap,0.001153634458759,0.0052056261847456,0.0068500941499394,0.0877948455326244,0.0498702625522973,0.0044996162750819,0.0498702625522973,3.807354922057604
pr,qr,-0.0037980509317051,0.0088807388433877,0.0,0.0303268589713201,0.0496756581408595,0.0017870358098066,0.0496756581408595,3.807354922057604
minSoilDepthFrac_forest,tws,0.0001343222236399,-0.0015324002006262,0.0095162078428803,0.0104100686158421,0.0495267803645514,0.0051288309319191,0.0495267803645514,3.807354922057604
minSoilDepthFrac_forest,qtot,0.0010553798376201,-0.0091737732467908,0.0,0.0600952412822329,0.0479677424624599,0.0024651516282264,0.0479677424624599,3.5849625007211565
tasmax,evap-total,0.003622634027773,0.0059210215623272,0.0,0.0440650846780995,0.0482208440184059,0.0012671077511776,0.0482208440184059,3.807354922057604
pr,potevap,0.0060370499346445,0.005161395714653,0.0,0.058788870107603,0.0492680220884653,0.0010626270955863,0.0492680220884653,3.807354922057604
tas,evap-total,0.0017942452137098,0.0021550035774704,0.0,0.0457235393661602,0.0486270908962852,0.0019711635591455,0.0486270908962852,3.807354922057604
